Type,Title,URL Path,Section (from URL),In Known Nav Menu,Nav Location,Content Cluster (from tags),Published,CAS Protected,Category,Tags,Audience,Custom Vocab,Flags
Page,Release Notes & News,/release-notes-news,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Explore Resources,/explore-resources,Resource Library,Yes,Resource Library (top nav),,Yes,No,,,,,
Page,Working With Content,/explore-resources/working-with-content,Resource Library > Working with Content,Yes,Resource Library (top nav),,Yes,No,,,,,
Page,Basic Principles of Information Architecture,/explore-resources/basic-principles-of-information-architecture,Resource Library,Not a known menu link*,,,Yes,No,Working With Content,"Content, Planning and Strategy, Resources",,,
Page,Configuring Beacon,/configuring-beacon,Other / root-level,Not a known menu link*,,,Yes,Yes,,,,,
Page,Using Taxonomy and Vocabulary,/using-taxonomy-and-vocabulary,Resource Library > User Guide,Yes,User Guide left nav > Managing Site Content,,Yes,No,,,,,
Page,Better Alternatives to Carousels: How YaleSites Prioritizes User Experience,/community/requests/better-alternatives-to-carousels-how-yalesites-prioritizes-user-experience,Community,Not a known menu link*,,,Yes,No,,product decisions,,,
Page,YaleSites Vocabularies,/yalesites-vocabularies,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Community Spotlight Sites,/community-spotlight-sites,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Request Beacon,/request-beacon,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Support Guidelines,/support-guidelines,Other / root-level,Not a known menu link*,,,Yes,No,,,,,Title has leading/trailing whitespace in source export
Page,Getting Started with Siteimprove,/explore-resources/working-with-content/getting-started-with-siteimprove,Resource Library > Working with Content,Not a known menu link*,,,Yes,No,Working With Content,,,,
Page,Regular Auditing and Web Maintenance,/regular-auditing-and-web-maintenance-page,Other / root-level,Not a known menu link*,,,Yes,No,Working With Content,,,,
Page,Capabilities,/capabilities,Other / root-level,Not a known menu link*,,,Yes,No,,,,,Title has leading/trailing whitespace in source export
Page,Testing and Maintenance,/testing-and-maintenance,Other / root-level,Not a known menu link*,,,Yes,No,,,,,Title has leading/trailing whitespace in source export
Page,Content Guide,/content-guide,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Secondary Navigation with Content Collections,/secondary-navigation-with-content-collections,Resource Library > User Guide,Yes,User Guide left nav > Building Your Site,,Yes,No,,"Design and Site Building, Resources",,,
Page,Working with a Vendor,/community/vendor,Community,Yes,Community (top nav),,Yes,Yes,,,,,
Page,Sitewide Settings,/explore-resources/user-guide/sitewide-settings,Resource Library > User Guide,Yes,User Guide left nav > Building Your Site,,Yes,No,,User Guide,,,
Page,Accordion Block,/accordion-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Text & Content, Building With Blocks",,Text and Content,
Page,Tabs Block,/tabs-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Text & Content, Building With Blocks",,Text and Content,
Page,Building with Blocks,/building-with-blocks,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,On-Demand Training,,,
Page,Understanding Content Visibility and CAS Protection on YaleSites,/community/requests/understanding-content-visibility-and-cas-protection-on-yalesites,Community,Not a known menu link*,,,Yes,No,,"Featured, product decisions",,,
Page,Embed Block,/embed-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Media, Building With Blocks",,Media Block,
Page,Video Block,/video-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Media, Building With Blocks",,Media Block,
Page,YaleSites Content Blocks: Full Reference Table,/yalesites-content-blocks-full-reference-table,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,,,,
Page,Continuous Improvement,/continuous-improvement,Platform,Yes,Platform (top nav),,Yes,No,,,,,Title has leading/trailing whitespace in source export
Page,Profile,/profile,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Google Tag Manager,/google-tag-manager,Resource Library > User Guide,Yes,User Guide left nav > Managing Site Content,,Yes,No,,,,,
Page,Edit Layout and Content,/edit-layout-and-content,Resource Library > User Guide,Yes,User Guide left nav > Building Your Site,,Yes,No,,Building your site,,,
Page,Content Types,/explore-resources/user-guide/building-your-site/content-types,Resource Library > User Guide,Yes,User Guide left nav > Building Your Site,,Yes,No,,Building your site,,,
Page,Log into Localist as an End-user,/log-into-localist-as-an-end-user,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,Create Powerful Page Sections,/create-powerful-page-sections,Resource Library > User Guide,Yes,User Guide left nav > Building Your Site,,Yes,No,,"Design and Site Building, Resources",,,
Page,Creating Accessible Content,/creating-accessible-content,Resource Library > User Guide,Yes,User Guide left nav > Creating Accessible Content,,Yes,No,Working With Content,User Guide,,,
Page,Action Banner Block,/action-banner-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Calls to Action",,Call to Action,
Page,Button Link Block,/explore-resources/user-guide/building-your-site/building-with-blocks/button-link-block,Resource Library > User Guide,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Calls to Action",,Call to Action,
Page,Callout Block,/explore-resources/user-guide/building-your-site/building-with-blocks/callout-block,Resource Library > User Guide,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Calls to Action",,"Call to Action, Media Block",
Page,Custom Cards Block,/custom-cards-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Calls to Action",,Call to Action,
Page,Link Grid Block,/explore-resources/user-guide/building-your-site/building-with-blocks/link-grid-block,Resource Library > User Guide,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Calls to Action",,Call to Action,
Page,Quick Links Block,/explore-resources/user-guide/building-your-site/building-with-blocks/quick-links-block,Resource Library > User Guide,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Calls to Action",,Call to Action,
Page,Tiles Block,/tiles-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Calls to Action",,Call to Action,
Page,Wrapped Image,/wrapped-image,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Media, Building With Blocks",,Media Block,Title has leading/trailing whitespace in source export
Page,Media Grid Block,/media-grid-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Media, Building With Blocks",,Dynamic Content,
Page,Image Block,/explore-resources/user-guide/building-your-site/building-with-blocks/image-block,Resource Library > User Guide,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Basic, Building With Block - Media, Building With Blocks",,Media Block,
Page,Gallery Block,/gallery-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Media, Building With Blocks",,Media Block,
Page,View Block,/view-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Dynamic Content, Building With Blocks",,Dynamic Content,
Page,Taxonomy Display Block,/taxonomy-display-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,Example Category,"Building With Block - Dynamic Content, Building With Blocks","Faculty, Staff, Students",Dynamic Content,
Page,Profile Directory Block,/profile-directory-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Dynamic Content, Building With Blocks",,Dynamic Content,
Page,Post Feed Block,/post-feed-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Dynamic Content, Building With Blocks",,Dynamic Content,
Page,Calendar List Block,/calendar-list-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Dynamic Content, Building With Blocks",,Dynamic Content,
Page,Spotlight Portrait Block,/spotlight-portrait-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Featured Content",,Featured Content,
Page,Spotlight Landscape Block,/spotlight-landscape-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Featured Content",,Featured Content,
Page,Reference Card Block,/reference-card-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Featured Content",,Featured Content,
Page,Quote Callout,/quote-callout,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Featured Content",,Featured Content,
Page,Grand Hero Block,/grand-hero-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Featured Content",,Featured Content,
Page,Facts and Figures,/facts-and-figures,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Featured Content",,Featured Content,
Page,Wrapped Text Callout Block,/wrapped-text-callout-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Text & Content, Building With Blocks",,Text and Content,
Page,Quote Block,/quote-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Text & Content, Building With Blocks",,Text and Content,
Page,In-Line Message Block,/in-line-message-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Text & Content, Building With Blocks",,Text and Content,
Page,Building with Blocks,/explore-resources/user-guide/building-your-site/building-with-blocks,Resource Library > User Guide,Yes,User Guide left nav > Building Your Site,Block reference library,Yes,No,,"Building your site, Design and Site Building, Resources",,,
Page,Manage Settings,/manage-settings,Resource Library > User Guide,Yes,User Guide left nav > Building Your Site,,Yes,No,,layout builder,,,
Page,Divider Block,/explore-resources/user-guide/building-your-site/building-with-blocks/divider-block,Resource Library > User Guide,Not a known menu link*,,Block reference library,Yes,No,,Building With Blocks,,,
Page,YaleSites Office Hours,/yalesites-office-hours,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,Available Training,,,
Page,Using a Content Matrix Webinar,/using-a-content-matrix-webinar,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,Available Training,,,
Page,Building with Blocks (live),/building-with-blocks-live,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,Available Training,,,
Page,Web Writing Best Practices Webinar,/web-writing-best-practices-webinar,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,Available Training,,,
Page,Building Your Site,/explore-resources/user-guide/building-your-site,Resource Library > User Guide,Yes,User Guide left nav > Building Your Site,,Yes,No,,User Guide,,,
Page,Common Requests,/community/requests,Community,Yes,Community (top nav),,Yes,No,,,,,
Page,Why YaleSites Doesn't Fully Embrace Opening Links in New Tabs,/community/requests/why-yalesites-doesnt-fully-embrace-opening-links-in-new-tabs,Community,Not a known menu link*,,,Yes,No,,product decisions,,,Title has leading/trailing whitespace in source export
Page,Building YaleSites Together,/community,Community,Yes,Community (top nav),,Yes,No,,,,,
Page,Trainings 2.0,/trainings-20,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,,,,
Page,Pre-Built Form Block,/pre-built-form-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Advanced, Building With Blocks",,,
Page,How to Conduct a Content Audit,/explore-resources/working-with-content/how-to-conduct-a-content-audit,Resource Library > Working with Content,Not a known menu link*,,,Yes,No,Working With Content,,,,
Page,Development,/community/development,Community,Yes,Community (top nav),,Yes,No,,,,,
Page,Show a Page in Your Site Menu,/explore-resources/yalesites-user-guide/building-your-site/show-a-page-in-your-site-menu,Resource Library,Not a known menu link*,,,Yes,No,,,,,
Page,Should I choose YaleSites over a custom website?,/should-i-choose-yalesites-over-a-custom-website,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Sample Page: Demo Content,/sample-page-demo-content,Other / root-level,Not a known menu link*,,Sample / demo content,Yes,No,"Page Category 1, Page Category 2, Page Category 3",demo,,,"Looks like demo/sample content, confirm before treating as real inventory"
Page,Sample Page: More Demo Content,/sample-page-more-demo-content,Other / root-level,Not a known menu link*,,Sample / demo content,Yes,No,"Page Category 1, Page Category 3",demo,,,"Looks like demo/sample content, confirm before treating as real inventory"
Page,Sample Page: Even More Demo Content,/sample-page-even-more-demo-content,Other / root-level,Not a known menu link*,,Sample / demo content,Yes,No,Page Category 2,demo,,,"Looks like demo/sample content, confirm before treating as real inventory"
Page,Redirects and Site Migrations,/explore-resources/redirects-and-site-migrations,Resource Library,Not a known menu link*,,,Yes,No,,"Design and Site Building, Resources",,,
Page,Interpreting and Using Analytics Data Webinar,/interpreting-and-using-analytics-data-webinar,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,Available Training,,,
Page,Editorial Workflow,/editorial-workflow,Resource Library > User Guide,Yes,User Guide left nav > Managing Site Content,,Yes,No,,"Content Creation and Management, manage content, Resources",,,Title has leading/trailing whitespace in source export
Page,Creating Reusable Blocks,/explore-resources/creating-reusable-blocks,Resource Library,Not a known menu link*,,Block reference library,Yes,No,,"Design and Site Building, Resources",,,
Page,Auditing and Web Maintenance​ Webinar,/auditing-and-web-maintenance-webinar,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,Available Training,,,
Page,Built On YaleSites,/continuous-improvement/yalesites-advantage/built-on-yalesites,Platform,Not a known menu link*,,,Yes,No,,,,,
Page,"Built Together, For Everyone",/continuous-improvement/yalesites-advantage/built-together-for-everyone,Platform,Not a known menu link*,,,Yes,No,,,,,
Page,Conducting a Content Audit Webinar,/conducting-a-content-audit-webinar,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,Available Training,,,
Page,Menu Structure: Watch the Video,/menu-structure-watch-the-video,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,,,,
Page,Beacon AI Navigator Terms of Use,/beacon-ai-navigator-terms-of-use,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Using a Content Matrix,/explore-resources/working-with-content/using-a-content-matrix,Resource Library > Working with Content,Not a known menu link*,,,Yes,No,Working With Content,,,,
Page,Teaser Information,/teaser-information,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Managing Site Content,/managing-site-content,Resource Library > User Guide,Yes,User Guide left nav > Managing Site Content,,Yes,No,,User Guide,,,
Page,Term Glossary,/term-glossary,Resource Library > User Guide,Yes,User Guide left nav,,Yes,No,,User Guide,,,
Page,2023 Platform Upgrade,/continuous-improvement/2023-platform-upgrade,Platform,Not a known menu link*,,,Yes,No,,,,,
Page,Admin Interface Overview: Watch the Video,/admin-interface-overview-watch-the-video,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,,,,
Page,Accessibility with Editoria11y,/explore-resources/user-guide/building-your-site/accessibility-with-editoria11y,Resource Library > User Guide,Yes,User Guide left nav > Creating Accessible Content,,Yes,No,,Building your site,,,
Page,Media Library,/media-library-0,Resource Library > User Guide,Yes,User Guide left nav > Managing Site Content,,Yes,No,,manage content,,,
Page,Tips and Tricks,/explore-resources/tips-and-tricks,Resource Library > Tips and Tricks,Yes,Resource Library (top nav),,Yes,No,,,,,
Page,Post,/post,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Page,/page,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Building Your Menu,/explore-resources/building-your-menu,Resource Library > User Guide,Yes,User Guide left nav > Managing Site Content,,Yes,No,,"Design and Site Building, manage content, Resources",,,
Page,Interpreting and Using Analytics Data,/explore-resources/working-with-content/interpreting-and-using-analytics-data,Resource Library > Working with Content,Not a known menu link*,,,Yes,No,Working With Content,,,,
Page,Theme Settings,/resource-library/user-guide/sitewide-settings/theme-settings,Resource Library (old URL scheme),Not a known menu link*,,,Yes,No,,,,,Old URL scheme (/resource-library/ instead of /explore-resources/)
Page,YaleSites Demo,/trainings/yalesites-demo,Trainings,Not a known menu link*,,,Yes,No,,On-Demand Training,,,
Page,Web Writing Best Practices,/trainings/web-writing-best-practices,Trainings,Not a known menu link*,,,Yes,No,,On-Demand Training,,,
Page,Taxonomies,/taxonomies,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Training Catalog,/training-catalog,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,Training,,,
Page,Text Block,/resource-library/building-with-blocks/text-block,Resource Library (old URL scheme),Not a known menu link*,,Block reference library,Yes,No,,"Building With Block - Basic, Building With Blocks",,,Old URL scheme (/resource-library/ instead of /explore-resources/)
Page,Tips for Linking,/resource-library/tips-for-linking,Resource Library (old URL scheme),Not a known menu link*,,,Yes,No,,"Content Creation and Management, Resources",,,Old URL scheme (/resource-library/ instead of /explore-resources/)
Page,Writing for the Web Workshop,/writing-for-the-web-workshop,Other / root-level,Not a known menu link*,,Training catalog / webinars,Yes,No,,"Live Training, Training",,,
Post,YaleSites v2.2 - In Collaboration with Institution for Social and Policy Studies,/announcements/2026-02-25-yalesites-v22-in-collaboration-with-institution-for-social-and-policy,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,Community Contributions,"Dashboard Announcement, Dashboard Updates, Release Notes",,,
Post,YaleSites v2.22 - In Collaboration with Institution for Social and Policy Studies,/announcements/2026-05-13-yalesites-v222-in-collaboration-with-institution-for-social-and-policy,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,Community Contributions,"Dashboard Updates, Release Notes",,,
Post,YaleSites v2.23: Drupal 10.6 Maintenance Release,/announcements/2026-07-08-yalesites-v223-drupal-106-maintenance-release,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"Dashboard Updates, Release Notes",,,Title has leading/trailing whitespace in source export
Post,YaleSites: The Year Review,/announcements/2025-12-19-yalesites-the-year-review,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News",,,
Post,YaleSites v2.9 - In Collaboration with School of Environment,/announcements/2025-09-17-yalesites-v29-in-collaboration-with-school-of-environment,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,Community Contributions,Release Notes,,,
Post,YaleSites V1.13 - In Collaboration with the Poorvu Teaching and Learning Center,/announcements/2025-02-20-yalesites-v113-in-collaboration-with-the-poorvu-teaching-and-learning,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,Community Contributions,"front, Release Notes, Spotlight Site",,,
Post,YaleSites v2.0 - In Collaboration with It's Your Yale,/announcements/2025-05-08-yalesites-v20-in-collaboration-with-its-your-yale,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,Community Contributions,"Release Notes, Spotlight Site",,,
Post,Release Notes: YaleSites v2.3,/announcements/2025-07-24-release-notes-yalesites-v23,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,Release Notes,,,
Post,Community Spotlight: Yale-United Way Campaign,/announcements/2023-10-17-community-spotlight-yale-united-way-campaign,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News, Spotlight Site",,,
Post,Community Spotlight: Yale Visitor Center,/announcements/2023-10-31-community-spotlight-yale-visitor-center,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News, Spotlight Site",,,
Post,Community Spotlight: Enterprise Monitoring,/announcements/2023-11-14-community-spotlight-enterprise-monitoring,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News, Spotlight Site",,,
Post,Community Spotlight: Indigenous Leaders at Yale,/announcements/2023-11-28-community-spotlight-indigenous-leaders-at-yale,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News, Spotlight Site",,,
Post,Community Spotlight: Campus Health,/announcements/2024-03-07-community-spotlight-campus-health,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News, Spotlight Site",,,Title has leading/trailing whitespace in source export
Post,Community Spotlight: Student Accessibility Services,/announcements/2024-04-16-community-spotlight-student-accessibility-services,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News, Spotlight Site",,,
Post,YaleSites v.2.10 - Enhanced Design Flexibility and Event Improvements,/announcements/2025-11-25-yalesites-v210-enhanced-design-flexibility-and-event-improvements,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,Release Notes,,,
Post,Community Spotlight: Yale Chemistry Department,/announcements/yale-chemistry-department-spotlight,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News, Spotlight Site",,,
Post,Community Spotlight: Yale West Campus,/announcements/2025-01-29-community-spotlight-yale-west-campus,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News, Spotlight Site",,,
Post,Hiding Page Titles in YaleSites,/announcements/2023-10-17-hiding-page-titles-in-yalesites,Posts / Announcements,Not a known menu link*,,Tips and Tricks,Yes,No,Tips and Tricks,Tips and Tricks - Building,,,
Post,Maximizing the Use of Custom Cards in Your YaleSite,/announcements/2023-10-31-maximizing-the-use-of-custom-cards-in-your-yalesite,Posts / Announcements,Not a known menu link*,,Tips and Tricks,Yes,No,Tips and Tricks,Tips and Tricks - Building,,,
Post,Effectively using the Mega Menu,/announcements/2023-11-14-effectively-using-the-mega-menu,Posts / Announcements,Not a known menu link*,,Tips and Tricks,Yes,No,Tips and Tricks,Tips and Tricks - Footers and Navigation,,,
Post,Utilizing the Mega Footer for Branding and Visual Identity,/announcements/2023-11-28-utilizing-the-mega-footer-for-branding-and-visual-identity,Posts / Announcements,Not a known menu link*,,Tips and Tricks,Yes,No,Tips and Tricks,Tips and Tricks - Footers and Navigation,,,
Post,Make your content stand out with Reference Cards,/announcements/2024-06-04-make-your-content-stand-out-with-reference-cards,Posts / Announcements,Not a known menu link*,,Tips and Tricks,Yes,No,Tips and Tricks,Tips and Tricks - Building,,,
Post,Sample Post: More Demo Content,/announcements/2024-10-03-sample-post-more-demo-content,Posts / Announcements,Not a known menu link*,,Sample / demo content,Yes,No,,demo,"Faculty, Staff, Students",,
Post,Sample Post: Even More Demo Content,/announcements/2025-01-16-sample-post-even-more-demo-content,Posts / Announcements,Not a known menu link*,,Sample / demo content,Yes,No,,demo,"Faculty, Staff, Students",,
Post,Sample Post: Demo Content,/announcements/2025-04-25-sample-post-demo-content,Posts / Announcements,Not a known menu link*,,Sample / demo content,Yes,No,,demo,"Faculty, Staff, Students",,
Post,Community Spotlight: Canvas @ Yale,/announcements/2024-07-18-community-spotlight-canvas-yale,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News, Spotlight Site",,,
Post,Community Spotlight: Yale Institute of Sacred Music,/node/299,Other / root-level,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News, Spotlight Site",,,No URL alias (raw node link)
